species,Lanzarote,Fuerteventura,Gran Canaria,Tenerife,La Gomera,La Palma,El Hierro
Bulweria_bulwerii,1,0,1,1,1,1,1
Calonectris_diomedea,1,1,1,1,1,1,1
Puffinus_assimilis,1,1,1,1,1,1,1
Puffinus_puffinus,0,0,0,1,1,1,1
Hydrobates_pelagicus,1,1,0,1,1,0,1
Oceanodroma_castro,1,1,0,1,0,0,1
Bubulcus_ibis,1,0,0,0,0,0,0
Egretta_garzetta,1,0,0,0,0,0,0
Ixobrychus_minutus,0,0,0,1,0,0,0
Marmaronetta_angustirostris,0,1,0,1,0,0,0
Tadorna_ferruginea,1,1,1,1,0,0,0
Accipiter_nisus,0,0,1,1,1,1,1
Buteo_buteo,0,1,1,1,1,1,1
Neophron_percnopterus,1,1,0,0,0,0,0
Pandion_haliaetus,1,0,0,1,1,0,1
Falco_eleonorae,1,0,0,0,0,0,0
Falco_pelegrinoides,1,1,1,1,1,1,1
Falco_tinnunculus,1,1,1,1,1,1,1
Coturnix_coturnix,1,1,1,1,1,1,1
Chlamydotis_undulata,1,1,0,0,0,0,0
Fulica_atra,0,1,1,1,1,0,0
Gallinula_chloropus,0,1,1,1,1,0,0
Burhinus_oedicnemus,1,1,1,1,1,1,1
Charadrius_alexandrinus,1,1,1,0,0,0,0
Charadrius_dubius,0,1,1,1,0,0,0
Cursorius_cursor,1,1,0,0,0,0,0
Larus_michahellis,1,1,1,1,1,1,1
Himantopus_himantopus,1,1,1,0,0,0,0
Scolopax_rusticola,0,0,1,1,1,1,1
Sterna_dougallii,0,0,0,0,0,0,1
Sterna_hirundo,0,1,1,1,1,1,1
Columba_bollii,0,0,0,1,1,1,1
Columba_junoniae,0,0,1,1,1,1,1
Columba_livia,1,1,1,1,1,1,1
Streptopelia_decaocto,1,1,1,1,1,1,1
Streptopelia_turtur,1,1,1,1,1,1,1
Asio_otus,0,1,1,1,1,1,1
Tyto_alba,1,1,1,1,1,1,1
Apus_apus,1,0,1,1,0,0,0
Apus_pallidus,1,1,1,1,0,0,1
Apus_unicolor,1,1,1,1,1,1,1
Upupa_epops,1,1,1,1,1,1,1
Dendrocopos_major,0,0,1,1,0,0,0
Calandrella_rufescens,1,1,1,0,0,0,0
Corvus_corax,1,1,1,1,1,1,1
Pyrrhocorax_pyrrhocorax,0,0,0,0,0,1,0
Miliaria_calandra,1,1,1,1,1,0,1
Bucanetes_githagineus,1,1,1,1,1,0,0
Carduelis_cannabina,1,1,1,1,1,1,1
Carduelis_carduelis,1,1,1,1,1,1,1
Carduelis_chloris,0,0,1,1,1,1,1
Fringilla_coelebs,0,0,1,1,1,1,1
Fringilla_teydea,0,0,1,1,0,0,0
Serinus_canaria,1,1,1,1,1,1,1
Hirundo_rustica,0,0,1,0,0,0,0
Lanius_meridionalis,1,1,1,1,0,0,0
Anthus_berthelotii,1,1,1,1,1,1,1
Motacilla_cinerea,0,0,1,1,1,1,0
Parus_teneriffae,1,1,1,1,1,1,1
Passer_hispaniolensis,1,1,1,1,1,1,1
Passer_montanus,0,0,1,0,0,0,0
Petronia_petronia,0,0,1,1,1,0,1
Sturnus_vulgaris,0,0,1,1,0,0,0
Phylloscopus_canariensis,0,0,1,1,1,1,1
Regulus_regulus,0,0,0,1,1,1,1
Sylvia_atricapilla,0,0,1,1,1,1,1
Sylvia_conspicillata,1,1,1,1,1,1,1
Sylvia_melanocephala,1,1,1,1,1,1,1
Erithacus_rubecula,0,0,1,1,1,1,1
Saxicola_dacotiae,0,1,0,0,0,0,0
Turdus_merula,0,0,1,1,1,1,1
Serinus_serinus,0,0,1,1,0,0,0
Pterocles_orientalis,0,1,0,0,0,0,0
Stigmatopelia_senegalensis,1,1,1,1,1,0,0
,,,,,,,
Area (ha),82355,166513,153200,205800,37800,72900,27800
sp.r,42,45,56,59,47,40,45
