species,Piana,Barretini,Spargiotto,Corcelli,Razzoli,Santa-Maria,Spargi,Maddalena
Tachybaptus_ruficollis,0,0,0,0,0,1,0,1
Accipiter_nisus,0,0,0,0,0,0,0,1
Buteo_buteo,0,0,0,0,1,0,1,1
Falco_tinnunculus,0,0,0,0,0,0,0,1
Gallinula_chloropus,0,0,0,0,0,1,0,1
Columba_livia,1,1,1,1,1,1,1,1
Tyto_alba,0,0,0,0,0,0,0,1
Athene_noctua,0,0,0,0,0,0,0,1
Caprimulgus_europaeus,0,0,0,0,0,1,1,1
Apus_pallidus,0,1,1,1,1,0,0,1
Tachymarptis_melba,0,0,0,0,0,0,0,1
Lullula_arborea,0,0,0,0,0,0,0,1
Anthus_campestris,0,0,0,0,0,0,0,1
Troglodytes_troglodytes,0,0,0,0,1,1,1,1
Erithacus_rubecula,0,0,0,0,0,0,1,1
Saxicola_torquatus,0,0,0,0,0,1,1,1
Monticola_solitarius,0,0,1,0,1,1,1,1
Turdus_merula,0,0,0,0,1,1,1,1
Sylvia_sarda,0,0,0,0,1,1,1,1
Sylvia_undata,0,0,0,0,1,1,1,1
Sylvia_cantillans,0,0,0,0,0,0,1,1
Sylvia_melanocephala,0,0,0,0,1,1,1,1
Regulus_ignicapilla,0,0,0,0,0,0,1,0
Muscicapa_striata,0,0,0,0,1,1,1,1
Parus_major,0,0,0,0,0,1,1,1
Lanius_senator,0,0,0,0,0,0,0,1
Corvus_monedula,0,0,0,0,0,0,0,1
Corvus_corone,0,0,0,0,0,0,0,1
Corvus_corax,0,0,0,0,1,0,1,1
Passer_domesticus,0,0,0,0,1,1,0,1
Passer_montanus,0,0,0,0,0,0,0,1
Petronia_petronia,0,0,0,0,0,0,0,1
Carduelis_chloris,0,0,0,0,0,1,1,1
Carduelis_carduelis,0,0,0,0,0,1,1,1
Carduelis_cannabina,0,0,0,0,0,0,1,1
Emberiza_cirlus,0,0,0,0,0,1,1,1
Miliaria_calandra,0,0,0,0,0,0,0,1
,,,,,,,,
Area (ha),4.7,9.7,11,11.6,154,205,420,1960
sp.r,1,2,3,2,12,17,20,36
