species,Corvo,Flores,Faial,Pico,Graciosa,Sao Jorge,Terceira,Sao Miguel,Santa Maria
Coturnix_coturnix,0,0,1,1,1,1,1,1,1
Puffinus_puffinus,1,1,0,0,0,0,0,0,0
Puffinus_assimilis,1,1,1,1,1,1,0,1,1
Calonectris_diomedea,1,0,1,1,1,1,1,1,1
Bulweria_bulwerii,0,0,0,0,1,0,0,0,1
Oceanodroma_castro,0,0,0,0,1,0,0,0,1
Buteo_buteo,0,0,1,1,1,1,1,1,1
Gallinula_chloropus,0,1,0,0,0,0,1,1,1
Fulica_atra,0,0,0,0,0,0,1,1,0
Charadrius_alexandrinus,0,0,0,0,1,1,1,1,1
Gallinago_gallinago,1,1,1,1,0,1,1,1,0
Scolopax_rusticola,1,1,1,1,0,1,1,1,0
Larus_michahellis,1,1,1,1,1,1,1,1,1
Sterna_dougallii,1,1,1,1,1,1,1,1,1
Sterna_hirundo,1,1,1,1,1,1,1,1,1
Sterna_fuscata,0,0,0,0,1,0,0,0,0
Columba_palumbus,1,1,1,1,1,1,1,1,1
Asio_otus,0,0,1,1,1,1,1,1,0
Motacilla_cinerea,1,1,1,1,1,1,1,1,1
Erithacus_rubecula,0,0,1,1,1,1,1,1,1
Turdus_merula,1,1,1,1,1,1,1,1,1
Sylvia_atricapilla,1,1,1,1,1,1,1,1,1
Regulus_regulus,0,1,1,1,0,1,1,1,1
Sturnus_vulgaris,1,1,1,1,1,1,1,1,1
Fringilla_coelebs,1,1,1,1,1,1,1,1,1
Serinus_canaria,1,1,1,1,1,1,1,1,1
Pyrrhula_murina,0,0,0,0,0,0,0,1,0
,,,,,,,,,
Area (ha),1700,14300,17300,44600,6100,24600,40100,75700,9700
sp.r,15,16,19,19,20,20,21,23,20
