species,Site.M1,Site.S1,Site.S2,Site.S3,Site.S4,Site.S5,Site.S6,Site.S7,Site.S8,Sungang.1,Sungang.2,Tiger.1
Arachnothera_longirostra,1,1,1,1,1,1,0,0,1,1,1,0
Arachnothera_affinis,1,0,0,0,0,0,0,0,0,0,1,0
Copsychus_malabaricus,1,1,1,1,1,1,1,1,1,1,1,1
Copsychus_saularis,1,0,0,0,1,1,0,0,0,0,0,1
Ducula_aenea,1,0,0,0,1,0,0,0,0,0,0,0
Loriculus_galgulus,1,1,0,1,1,1,0,1,1,0,1,0
Macronous_bornensis,1,1,1,1,1,1,1,1,1,1,1,1
Orthotomus_ruficeps,1,1,1,1,1,1,1,1,1,1,1,1
Orthotomus_sericeus,1,1,1,1,1,1,1,1,1,1,1,1
Pycnonotus_brunneus,1,1,1,1,1,1,1,0,1,1,1,1
Rhipidura_javanica,1,1,1,1,1,1,1,1,1,0,1,1
Aceros_undulatus,1,0,0,0,0,0,0,0,0,0,1,0
Spilornis_cheela,1,0,0,0,0,0,0,0,1,1,1,0
Aethopyga_siparaja,0,1,1,1,1,1,1,1,1,1,1,1
Anthracoceros_albirostris,0,1,0,1,1,0,0,0,0,0,1,0
Aplonis_panayensis,0,1,0,0,1,1,1,1,0,0,1,1
Buceros_rhinoceros,0,1,0,0,0,1,0,0,0,0,0,0
Chalcophaps_indica,0,1,0,1,1,0,1,1,1,0,0,1
Chrysococcyx_minutillus,0,1,0,1,0,0,0,0,0,0,0,0
Corvus_enca,0,1,0,1,1,0,1,0,0,1,1,1
Eumyias_thalassinus,0,1,0,0,0,0,0,0,0,0,0,0
Merops_viridis,0,1,0,1,1,0,0,0,0,0,0,0
Pycnonotus_goiavier,0,1,1,1,1,1,1,1,1,1,0,1
Pycnonotus_plumosus,0,1,0,0,1,0,0,0,1,0,1,0
Phaenicophaeus_curvirostris,0,0,1,0,0,0,0,0,0,0,0,0
Phylloscopus_borealis,0,0,1,1,0,0,0,1,1,1,1,0
Anthracoceros_malayanus,0,0,0,1,0,0,0,0,0,0,0,0
Arborophila_charltonii,0,0,0,1,1,0,0,0,1,0,0,0
Argusianus_argus,0,0,0,1,0,0,0,0,0,0,0,0
Cacomantis_merulinus,0,0,0,1,1,1,1,1,0,1,0,0
Ceyx_erithaca,0,0,0,1,0,0,0,0,0,0,0,0
Eurylaimus_ochromalus,0,0,0,1,0,0,0,0,0,0,1,0
Harpactes_diardii,0,0,0,1,0,0,0,0,0,0,0,0
Irena_puella,0,0,0,1,0,0,0,0,0,0,0,0
Lanius_cristatus,0,0,0,1,0,0,0,0,0,0,0,0
Macronous_ptilosus,0,0,0,1,0,0,0,0,0,0,1,0
Malacocincla_malaccensis,0,0,0,1,0,0,0,0,1,0,0,0
Malacopteron_affine,0,0,0,1,0,0,0,0,0,0,0,0
Malacopteron_cinereum,0,0,0,1,0,0,0,0,0,0,0,0
Meiglyptes_tukki,0,0,0,1,0,0,0,0,0,0,0,0
Pellorneum_capistratum,0,0,0,1,1,1,0,1,0,0,1,0
Pycnonotus_erythropthalmos,0,0,0,1,0,1,0,1,1,1,1,0
Phaenicophaeus_chlorophaeus,0,0,0,1,0,0,0,0,0,0,0,0
Trichastoma_bicolor,0,0,0,1,0,0,0,0,0,0,0,0
Centropus_bengalensis,0,0,0,0,1,0,0,0,0,0,0,0
Pitta_ussheri,0,0,0,0,1,0,0,0,0,0,0,0
Iole_olivacea,0,0,0,0,1,0,0,0,0,0,1,0
Prinia_flaviventris,0,0,0,0,1,1,1,0,1,0,0,1
Prionochilus_xanthopygius,0,0,0,0,1,1,1,0,0,0,0,0
Stigmatopelia_chinensis,0,0,0,0,1,0,1,0,0,0,0,1
Trichastoma_rostratum,0,0,0,0,1,0,0,0,0,0,0,0
Centropus_sinensis,0,0,0,0,0,1,0,0,0,0,0,0
Anthreptes_singalensis,0,0,0,0,0,1,1,0,1,0,0,0
Sasia_abnormis,0,0,0,0,0,1,0,0,1,1,0,0
Dicaeum_chrysorrheum,0,0,0,0,0,0,0,1,0,0,0,0
Dicaeum_trigonostigma,0,0,0,0,0,0,0,1,1,0,1,0
Muscicapa_dauurica,0,0,0,0,0,0,0,1,0,0,0,0
Pycnonotus_eutilotus,0,0,0,0,0,0,0,1,1,0,0,0
Stachyris_erythroptera,0,0,0,0,0,0,0,1,0,0,0,0
Celeus_brachyurus,0,0,0,0,0,0,0,0,1,0,0,0
Chloropsis_cyanopogon,0,0,0,0,0,0,0,0,1,0,0,0
Hypothymis_azurea,0,0,0,0,0,0,0,0,1,0,0,0
Stachyris_rufifrons,0,0,0,0,0,0,0,0,1,0,0,0
Alophoixus_phaeocephalus,0,0,0,0,0,0,0,0,0,1,0,0
Erpornis_zantholeuca,0,0,0,0,0,0,0,0,0,1,0,0
Nectarinia_calcostetha,0,0,0,0,0,0,0,0,0,1,0,0
Aegithina_viridissima,0,0,0,0,0,0,0,0,0,0,1,0
Gracula_religiosa,0,0,0,0,0,0,0,0,0,0,1,0
Hypogramma_hypogrammicum,0,0,0,0,0,0,0,0,0,0,1,0
Luscinia_calliope,0,0,0,0,0,0,0,0,0,0,1,0
Megalaima_mystacophanos,0,0,0,0,0,0,0,0,0,0,1,0
Picus_puniceus,0,0,0,0,0,0,0,0,0,0,1,0
Pycnonotus_cyaniventris,0,0,0,0,0,0,0,0,0,0,1,0
Actenoides_concretus,0,0,0,0,0,0,0,0,0,0,0,1
Aegithina_tiphia,0,0,0,0,0,0,0,0,0,0,0,1
Cyornis_rufigastra,0,0,0,0,0,0,0,0,0,0,0,1
Dicaeum_cruentatum,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,
Area (ha),1.5,3.2,1,87.1,9,54.5,0.7,12.2,13.2,4.5,60,6
sp.r,13,19,11,34,28,21,16,19,26,17,30,18
