species,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
Columba_palumbus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptopelia_turtur,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
Cuculus_canorus,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jynx_torquilla,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Picus_viridis,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
Dendrocopos_major,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Troglodytes_troglodytes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Erithacus_rubecula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Luscinia_megarhynchos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Turdus_merula,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Turdus_philomelos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cettia_cetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sylvia_melanocephala,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Sylvia_atricapilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phylloscopus_collybita,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
Phylloscopus_sibilatrix,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulus_ignicapilla,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0
Muscicapa_striata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegithalos_caudatus,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1
Parus_caeruleus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Parus_major,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Certhia_brachydactyla,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0
Oriolus_oriolus,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Garrulus_glandarius,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus_corone,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Passer_domesticus,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Fringilla_coelebs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serinus_serinus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carduelis_chloris,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carduelis_carduelis,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
Emberiza_cirlus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Miliaria_calandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,
Area (ha),302.48,168.91,68.84,58.36,54.69,53.59,50.7,47.83,46.71,29.99,13.99,13.27,13.02,7.96,3.18,2.65,2.58,1.69,1.5,0.26
sp.r,20,21,18,22,16,16,21,19,20,19,14,16,18,17,13,12,13,11,12,9
